Horários de Missa — Arquidiocese de Natal,,,,,,,,,,,
Fonte: documento oficial da Arquidiocese de Natal | Matrizes + Capelas + Confissão | Gerado automaticamente,,,,,,,,,,,
,,,,,,,,,,,
Paróquia,Bairro,Município,Vicariato,Zonal,Horários,Obs,Endereço,Telefone,Email,Tag,Confissão
Paróquia de São Francisco de Assis,Pitimbu,Natal,Vicariato Urbano 1,15º Zonal,"Ter, Qua, Qui, Sex: 17:30 | Sáb: 16:00 | Dom: 07:00 | Dom: 18:00",,"Rua Maracanã, s/n, Pitimbu - 59067-280, Natal/RN",(84) 3615-2834 / 99610-0652,sfassisparoquia.satelite@gmail.com,Matriz,Terça e Quinta - 16h às 17h
Santa Luzia,,Natal,Vicariato Urbano 1,15º Zonal,Dom: 16:00,Todo dia 13 - 12h*,,,,Pertence a matriz de Paróquia de São Francisco de Assis,
Menino Jesus de Praga,,Natal,Vicariato Urbano 1,15º Zonal,Sáb: 19:00,2º e Últimos sábados do mês,,,,Pertence a matriz de Paróquia de São Francisco de Assis,
São Frei Galvão,,Natal,Vicariato Urbano 1,15º Zonal,Dom: 10:00,,,,,Pertence a matriz de Paróquia de São Francisco de Assis,
Paróquia de Santa Clara,Pitimbu,Natal,Vicariato Urbano 1,15º Zonal,"Ter, Qua, Qui, Sex: 06:30 | Dom: 08:00 | Dom: 17:30",,"Rua Engenheiro Joaquim Cardoso, 475, Pitimbu - 59069-010, Natal/RN",(84) 3618-3113,psantaclaranatal@gmail.com,Matriz,Terça a Sexta - 15h às 17h
São Francisco de Assis,,Natal,Vicariato Urbano 1,15º Zonal,Sáb: 17:00,,,,,Pertence a matriz de Paróquia de Santa Clara,
Paróquia de Nossa Senhora dos Impossíveis,Pitimbu,Natal,Vicariato Urbano 1,15º Zonal,"Dom: 11:00 | Dom: 18:00 | Qua, Qui, Sex: 19:00 | Sáb: 17:00","Última quarta-feira do mês, 19h — missa com oração de cura.","Rua Paranapanema, s/n, 2ª etapa do Cidade Satélite, Pitimbu - 59068-330, Natal/RN",(84) 98104-3903,,Matriz,
Paróquia do Santo Ambrósio Francisco Ferro,Planalto,Natal,Vicariato Urbano 1,15º Zonal,"Ter, Qui, Sex, Sáb: 19:00 | Dom: 09:00 | Dom: 17:00",,"Rua Miramangue, 91, Planalto - 59074-320, Natal/RN",(84) 3218-7512,,Matriz,
São José Operário,,Natal,Vicariato Urbano 1,15º Zonal,Dom: 07:00,,,,,Pertence a matriz de Paróquia do Santo Ambrósio Francisco Ferro,
Nossa Senhora da Conceição,,Natal,Vicariato Urbano 1,15º Zonal,Qua: 19:00,,,,,Pertence a matriz de Paróquia do Santo Ambrósio Francisco Ferro,
Paróquia de Cristo Rei,Neópolis,Natal,Vicariato Urbano 1,15º Zonal,"Ter, Qua, Qui, Sex, Sáb: 17:00 | Dom: 07:00 | Dom: 11:00 | Dom: 19:30",,"Praça Cristo Rei, s/n, Conj. Pirangi, Neópolis - 59086-440, Natal/RN",(84) 98820-2830,,Matriz,Terça a Sexta - 14h30 às 16h30
Nossa Senhora de Lourdes,,Natal,Vicariato Urbano 1,15º Zonal,Sáb: 16:00,,,,,Pertence a matriz de Paróquia de Cristo Rei,
São Francisco de Assis,,Natal,Vicariato Urbano 1,15º Zonal,Dom: 09:00,,,,,Pertence a matriz de Paróquia de Cristo Rei,
Beata Lindalva Justo,,Natal,Vicariato Urbano 1,15º Zonal,Sáb: 19:00,,,,,Pertence a matriz de Paróquia de Cristo Rei,
São José,,Natal,Vicariato Urbano 1,15º Zonal,Dom: 09:30,,,,,Pertence a matriz de Paróquia de Cristo Rei,
São Paulo,,Natal,Vicariato Urbano 1,15º Zonal,Dom: 17:00,,,,,Pertence a matriz de Paróquia de Cristo Rei,
Paróquia da Imaculada Conceição,Nova Aliança,Natal,Vicariato Urbano 2,11º Zonal,"Dom: 07:00 | Dom: 19:00 | Ter, Qui, Sex: 17:30","1ª sexta-feira, 17h30 — votiva ao Sagrado Coração. 4º sábado, 9h — missa das crianças.","Rua José Luís da Silva, 1415, Loteamento Nova Aliança, Nossa Senhora da Apresentação - 59114-230, Natal/RN",(84) 98740-7850,,Matriz,
Mãe Peregrina,,Natal,Vicariato Urbano 2,11º Zonal,Sáb: 17:30 | Dom: 18:00,Todo dia 18 - 19h*,,,,Pertence a matriz de Paróquia da Imaculada Conceição,
São Francisco,,Natal,Vicariato Urbano 2,11º Zonal,Qua: 19:00 | Sáb: 19:30,,,,,Pertence a matriz de Paróquia da Imaculada Conceição,
Nossa Senhora das Vitórias,,Natal,Vicariato Urbano 2,11º Zonal,Dom: 09:00,,,,,Pertence a matriz de Paróquia da Imaculada Conceição,
Nossa Senhora do Rosário,,Natal,Vicariato Urbano 2,11º Zonal,Dom: 17:00,,,,,Pertence a matriz de Paróquia da Imaculada Conceição,
Paróquia de Santa Luzia,Lagoa Azul,Natal,Vicariato Urbano 2,11º Zonal,"Ter, Qua, Qui, Sex: 18:00 | Sáb: 07:00 | Dom: 11:00 | Dom: 19:00","Dias 13 e 18, 19h.","Av. Nila Jales, 1080, Loteamento Boa Esperança, Lagoa Azul - 59139-444, Natal/RN",(84) 2139-6892,secretariapsantaluzia@gmail.com,Matriz,
Santa Maria Madalena,,Natal,Vicariato Urbano 2,11º Zonal,Dom: 17:00 | Dom: 09:00 | Qui: 19:00,"1ª Sexta-feira do mês, 17h",,,,Pertence a matriz de Paróquia de Santa Luzia,
Nossa Senhora do Rosário,,Natal,Vicariato Urbano 2,11º Zonal,Dom: 07:00 | Sex: 19:00,,,,,Pertence a matriz de Paróquia de Santa Luzia,
São Francisco de Assis,,Natal,Vicariato Urbano 2,11º Zonal,Sáb: 17:00 | Ter: 19:00,,,,,Pertence a matriz de Paróquia de Santa Luzia,
Paróquia de Santa Maria Mãe,Potengi,Natal,Vicariato Urbano 2,11º Zonal,"Qua, Sex: 19:00 | Dom: 07:30 | Dom: 19:00",,"Rua Salto Veloso, 1838, Conj. Santa Catarina, Potengi - 59110-280, Natal/RN",(84) 3615-2886,paroquiasmmnatal@gmail.com,Matriz,Terça a Sexta - 14h30 às 17h30
Paróquia de Santo Antônio de Pádua,Parque dos Coqueiros,Natal,Vicariato Urbano 2,11º Zonal,"Dom: 07:00 | Dom: 19:00 | Ter, Qua, Qui, Sex: 18:00 | Sáb: 07:00",,"Av. Tomaz Landim, s/n, Conj. Parque dos Coqueiros, Nossa Senhora da Apresentação - 59104-000, Natal/RN",(84) 3343-1172,psantoantoniodepadua13@gmail.com,Matriz,
Paróquia de Sant'Ana,Soledade II,Natal,Vicariato Urbano 2,11º Zonal,"Ter, Qua, Qui, Sex, Sáb: 17:00 | Dom: 07:00 | Dom: 17:00 | Dom: 19:00","Todo dia 26, 19h — Missa do ramalhete de Sant'Ana.","Av. Ilha de São Paulo, 1110, Conj. Soledade II, Potengi - 59129-130, Natal/RN",(84) 3615-2880,,Matriz,
São João Evangelista,,Natal,Vicariato Urbano 2,11º Zonal,Dom: 18:00 | Qui: 19:00,"1ª sexta-feira do mês, 16h",,,,Pertence a matriz de Paróquia de Sant'Ana,
São Mateus,,Natal,Vicariato Urbano 2,11º Zonal,Dom: 10:00,"1ª sexta-feira do mês, 19h",,,,Pertence a matriz de Paróquia de Sant'Ana,
Paróquia de São Tomé Apóstolo,Igapó,Natal,Vicariato Urbano 2,11º Zonal,Dom: 07:00 | Dom: 19:00,,"Rua Júpiter, 48, Igapó, Conj. Cidade do Sol - 59106-170, Natal/RN",(84) 99661-1174,psaotomeapostolo@gmail.com,Matriz,
São Bartolomeu,,Natal,Vicariato Urbano 2,11º Zonal,Sáb: 18:00,,,,,Pertence a matriz de Paróquia de São Tomé Apóstolo,
São José,,Natal,Vicariato Urbano 2,11º Zonal,Sáb: 19:30,,,,,Pertence a matriz de Paróquia de São Tomé Apóstolo,
Santo André,,Natal,Vicariato Urbano 2,11º Zonal,Dom: 17:00,,,,,Pertence a matriz de Paróquia de São Tomé Apóstolo,
Santa Dulce dos Pobres,,Natal,Vicariato Urbano 2,11º Zonal,Sáb: 09:00,2º e 4º Sábado do mês,,,,Pertence a matriz de Paróquia de São Tomé Apóstolo,
Paróquia de Nossa Senhora da Conceição,Centro,Macaíba,Vicariato Urbano 2,12º Zonal,"Ter: 19:00 | Qua, Qui, Sex: 07:00 |  Dom: 07:30 | Dom: 19:00","1ª sexta-feira do mês, 19h","Largo Côn. Estevam Dantas, 65, Centro - 59280-000, Macaíba/RN",(84) 99195-2682,paroquiademacaiba@hotmail.com,Matriz,"Terça, Quinta e Sexta - 15h às 17h"
Santo Antônio,,Macaíba,Vicariato Urbano 2,12º Zonal,Dom: 07:00,"1ª sexta-feira do mês, 19h30",,,,Pertence a matriz de Nossa Senhora da Conceição - Macaíba,
Medianeira,,Macaíba,Vicariato Urbano 2,12º Zonal,Qui: 19:30,,,,,Pertence a matriz de Nossa Senhora da Conceição - Macaíba,
Paróquia de Nossa Senhora de Fátima,Vilar,Macaíba,Vicariato Urbano 2,12º Zonal,"Qui, Sex: 19:00 | Dom: 08:00 | Dom: 19:00","Quando houver a missa da 1ª sexta-feira, não haverá a missa da quinta.","Rua Luiz Varela da Costa, 35, Bairro Vilar - Macaíba/RN",(84) 99181-3019,paroquiansfatima_vilar@outlook.com,Matriz,Quinta e Sexta - 9h30 às 12h
Paróquia de Santo Antônio,Santo Antônio do Potengi,São Gonçalo do Amarante,Vicariato Urbano 2,12º Zonal,Dom: 09:00 | Dom: 19:00,"Dia 29, 19h30 — votiva a São Miguel Arcanjo.",,,,Matriz,
Santo Antônio,,São Gonçalo do Amarante,Vicariato Urbano 2,12º Zonal,Dom: 07:00,"1ª Sexta-feira do mês, 19h30",,,,Pertence a paróquia de Santo Antônio,
Medianeira,,São Gonçalo do Amarante,Vicariato Urbano 2,12º Zonal,Qui: 19:30,,,,,Pertence a paróquia de Santo Antônio,
Paróquia de Santo Expedito,Jardim Petrópolis,São Gonçalo do Amarante,Vicariato Urbano 2,12º Zonal,Dom: 07:00 | Dom: 19:00,,"Rua das Magnólias, 18, Jardim Petrópolis - 59290-000, São Gonçalo do Amarante/RN",(84) 99422-4288,paroquiasantoexpeditosga@gmail.com,Matriz,Sexta - 15h às 17h
"São José, esposo de Maria",,São Gonçalo do Amarante,Vicariato Urbano 2,12º Zonal,Dom: 08:30,,,,,Pertence a paróquia de Santo Expedito,
Nossa Senhora Rosa Mística,,São Gonçalo do Amarante,Vicariato Urbano 2,12º Zonal,Dom: 17:00,,,,,Pertence a paróquia de Santo Expedito,
Nossa senhora da Conceição,,São Gonçalo do Amarante,Vicariato Urbano 2,12º Zonal,Sáb: 19:00,,,,,Pertence a paróquia de Santo Expedito,
Paróquia de São Gonçalo do Amarante,Centro,São Gonçalo do Amarante,Vicariato Urbano 2,12º Zonal,Dom: 07:30 | Dom: 19:30 | Qui: 19:30,"1ª sexta-feira, 6h30.","Praça Senador Dinarte Mariz, 40, Centro - 59291-619, São Gonçalo do Amarante/RN",(84) 3278-2843,psgamarante2013@gmail.com,Matriz,
Paróquia de São Lucas,Conjunto Amarante,São Gonçalo do Amarante,Vicariato Urbano 2,12º Zonal,"Qua, Qui, Sex, Sáb: 18:00 | Dom: 09:00 | Dom: 19:00",,"Av. Maranhão, 40, Conjunto Amarante - 59296-644, São Gonçalo do Amarante/RN",(84) 3615-2884 / 98629-6454,pslucas1@live.com,Matriz,
Paróquia de Nossa Senhora dos Navegantes,Redinha,Natal,Vicariato Urbano 2,16º Zonal,Dom: 08:00,,"Rua Francisco Ivo, 85, Redinha - 59122-000, Natal/RN",(84) 99849-4501,pnsnavegantes.natal@gmail.com,Matriz,
Capelinha dos pescadores,,Natal,Vicariato Urbano 2,16º Zonal,Ter: 19:30,,,,,Pertence a matriz de Paróquia de Nossa Senhora dos Navegantes,
Nossa Senhora da Conceição,,Natal,Vicariato Urbano 2,16º Zonal,Qua: 19:30,,,,,Pertence a matriz de Paróquia de Nossa Senhora dos Navegantes,
Nossa Senhora Aparecida,,Natal,Vicariato Urbano 2,16º Zonal,Qui: 19:30,,,,,Pertence a matriz de Paróquia de Nossa Senhora dos Navegantes,
São Francisco de Assis,,Natal,Vicariato Urbano 2,16º Zonal,Sex: 19:30,,,,,Pertence a matriz de Paróquia de Nossa Senhora dos Navegantes,
Sagrado coração de Jesus,,Natal,Vicariato Urbano 2,16º Zonal,Sáb: 16:30,,,,,Pertence a matriz de Paróquia de Nossa Senhora dos Navegantes,
Santa Rita,,Natal,Vicariato Urbano 2,16º Zonal,Sáb: 19:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora dos Navegantes,
Nossa Senhora de Fátima,,Natal,Vicariato Urbano 2,16º Zonal,Dom: 18:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora dos Navegantes,
Nossa Senhora de La Salete,,Natal,Vicariato Urbano 2,16º Zonal,Dom: 10:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora dos Navegantes,
São José,,Natal,Vicariato Urbano 2,16º Zonal,Dom: 19:30,,,,,Pertence a matriz de Paróquia de Nossa Senhora dos Navegantes,
Paróquia de Nossa Senhora de Fátima,Parque das Dunas,Natal,Vicariato Urbano 2,16º Zonal,Dom: 07:00 | Dom: 10:00 | Dom: 19:00,,"Rua da Garoupa, 01, Conj. Parque das Dunas IV, Pajuçara - 59132-310, Natal/RN",(84) 3615-2882 / 99689-0001,santuariodefatimanatal@gmail.com,Matriz,Quita e Sexta - 9h às 15h
Paróquia de São João Batista,Pitangui,Extremoz,Vicariato Urbano 2,16º Zonal,Dom: 07:00 | Dom: 19:00,"1ª Sexta-feira do mês, 19h","Rua Zeferina Lopes, s/n, Centro, Praia de Pitangui - 59575-000, Extremoz/RN",(84) 99455-3074,psjbpitangui@gmail.com,Matriz,Domingo - 17h às 18h30
Paróquia de São João Bosco,Gramoré,Natal,Vicariato Urbano 2,16º Zonal,"Ter, Qua, Qui, Sex: 06:00 | Ter, Qua, Qui, Sex: 19:00 | Dom: 08:00 | Dom: 19:00",,"Av. Guaratinguetá, 682, Conj. Gramoré, Lagoa Azul - 59135-500, Natal/RN",(84) 98861-8604,,Matriz,Terça a Sexta - 18h
Paróquia de São Miguel,Centro,Extremoz,Vicariato Urbano 2,16º Zonal,"Dom: 07:00 | Dom: 18:30 | Ter, Qua, Qui: 18:00","1ª sexta-feira do mês, 18h.","Praça Prefeito José Franco, s/n, Centro - 59575-000, Extremoz/RN",(84) 3279-2716,paroquiaextremoz@gmail.com,Matriz,
Nossa Senhora da Conceição,,Extremoz,Vicariato Urbano 2,16º Zonal,Dom: 09:30,,,,,Pertence a matriz de Paróquia de São Miguel,
Paróquia de São Tiago Menor,Santarém,Natal,Vicariato Urbano 2,16º Zonal,"Dom: 07:00 | Dom: 11:00 | Dom: 19:00 | Ter, Qua, Qui, Sex: 19:00","1ª sexta-feira do mês, 19h — Sagrado Coração. Último sábado, 9h — missa das crianças. Dia 03, 19h — missa da saúde.","Rua Itororó, 48, Conj. Santarém, Potengi - 59124-520, Natal/RN",(84) 3346-5010,saotiagonatal@gmail.com,Matriz,Quinta e Sexta - 15h30 às 17h30
São Pedro e São Paulo,,Natal,Vicariato Urbano 2,16º Zonal,"Dom, Sáb: 17:00 | Ter: 18:00",,,,,Pertence a matriz de Paróquia de São Tiago Menor,
São Sebastião,,Natal,Vicariato Urbano 2,16º Zonal,Dom: 17:00 | Qua: 18:00,,,,,Pertence a matriz de Paróquia de São Tiago Menor,
Nossa Senhora das Graças,,Natal,Vicariato Urbano 2,16º Zonal,Dom: 09:00 | Sex: 18:00,,,,,Pertence a matriz de Paróquia de São Tiago Menor,
Paróquia de Nossa Senhora da Conceição,Centro,Lajes,Vicariato Norte 1,5º Zonal,"Seg, Ter, Qua, Qui, Sex: 18:30 | Sáb: 07:30 | Dom: 07:30 | Dom: 19:30",,"Praça Mons. Vicente, 312, Centro - 59535-000, Lajes/RN",(84) 99894-3713,,Matriz,
São Francisco de Assis - Pedra Preta,,Lajes,Vicariato Norte 1,5º Zonal,Dom: 17:00 | Qui: 18:30,,,,,Pertence a matriz de Paróquia de Nossa Senhora da Conceição,
Paróquia de Nossa Senhora da Conceição,Centro,São Rafael,Vicariato Norte 1,5º Zonal,"Qua, Sex: 17:00 | Qui: 19:30 | Dom: 08:00 | Dom: 19:30","3º Sábado do mês, 9h","Av. José Pedro de Azevedo, 930, Centro - 59518-000, São Rafael/RN",(84) 98779-2383,pnscsaorafaelrn@outlook.com,Matriz,
Paróquia de Nossa Senhora das Graças,Centro,Afonso Bezerra,Vicariato Norte 1,5º Zonal,Dom: 07:30 | Dom: 19:30 | Qui: 19:00,"1ª sexta-feira do mês, 19h.","Praça Francisco das Chagas de Souza, 79, Centro - 59510-000, Afonso Bezerra/RN",(84) 98148-6372,,Matriz,
Paróquia de Sant'Ana,Centro,Santana do Matos,Vicariato Norte 1,5º Zonal,Qui: 19:00 | Dom: 19:30,"1ª Sexta-feira do mês, 19h. Todo dia 18, 19h. ","Rua Coronel Carvalho, 24, Centro - 59520-000, Santana do Matos/RN",(84) 99669-4549,,Matriz,
Santa Luzia,,Santana do Matos,Vicariato Norte 1,5º Zonal,Dom: 07:00,,,,,Pertence a matriz de Paróquia de Sant'Ana,
Frei Galvão,,Santana do Matos,Vicariato Norte 1,5º Zonal,Qua: 19:00,,,,,Pertence a matriz de Paróquia de Sant'Ana,
Paróquia de São José,Centro,Angicos,Vicariato Norte 1,5º Zonal,"Dom: 07:00 | Dom: 19:30 | Ter, Qua, Qui, Sex: 17:00 | Sáb: 10:00",,"Praça José da Penha, 151, Centro - 59515-000, Angicos/RN",(84) 99604-8303,,Matriz,
São Joaquim - Fernando Pedroza,,Angicos,Vicariato Norte 1,5º Zonal,Sáb: 17:00 | Qua: 19:30,"1ª sexta-feira do mês, 19h30.",,,,Pertence a matriz de Paróquia de São José,
Paróquia de São Paulo Apóstolo,Centro,Pedro Avelino,Vicariato Norte 1,5º Zonal,"Dom: 07:00 | Dom: 19:00 | Qua, Qui, Sex: 17:30",,"Praça Côn. Antônio Antas, 58, Centro - 59530-000, Pedro Avelino/RN",,paroquiadesaopauloapostolopa@yahoo.com.br,Matriz,
Paróquia de São Vicente Férrer,Centro,Itajá,Vicariato Norte 1,5º Zonal,Dom: 19:00,,"Av. José Juscelino Barbosa, 280, Centro - 59513-000, Itajá/RN",(84) 99991-0431,tesouraria.paroquiadeitaja@gmail.com,Matriz,
Santa Terezinha,,Itajá,Vicariato Norte 1,5º Zonal,Sáb: 17:00,,,,,Pertence a matriz de Paróquia de São Vicente Férrer,
Santa Luzia,,Itajá,Vicariato Norte 1,5º Zonal,Sáb: 19:30,,,,,Pertence a matriz de Paróquia de São Vicente Férrer,
São Francisco,,Itajá,Vicariato Norte 1,5º Zonal,Dom: 08:00,,,,,Pertence a matriz de Paróquia de São Vicente Férrer,
Paróquia de Nossa Senhora da Conceição,Centro,Guamaré,Vicariato Norte 1,6º Zonal,Sex: 17:30 | Dom: 19:30,,"Rua Luiz de Souza Miranda, 104, Centro - 59598-000, Guamaré/RN",(84) 99629-9722,,Matriz,
Santuário Nossa Senhora da Conceição,,Guamaré,Vicariato Norte 1,6º Zonal,Sáb: 17:30,,,,,Pertence a matriz de Paróquia de Nossa Senhora da Conceição,
Nossa Senhora Aparecida,,Guamaré,Vicariato Norte 1,6º Zonal,Dom: 09:30,,,,,Pertence a matriz de Paróquia de Nossa Senhora da Conceição,
São Sebastião,,Guamaré,Vicariato Norte 1,6º Zonal,Dom: 17:30,,,,,Pertence a matriz de Paróquia de Nossa Senhora da Conceição,
Divino Pai Eterno,,Guamaré,Vicariato Norte 1,6º Zonal,Sex: 19:30,1ª Sexta-feira do mês,,,,Pertence a matriz de Paróquia de Nossa Senhora da Conceição,
Paróquia de Nossa Senhora da Conceição,Centro,Macau,Vicariato Norte 1,6º Zonal,"Ter, Qua, Qui, Sex: 17:30 | Dom: 19:30 | Dom: 07:00",,"Praça da Conceição, 65, Centro - 59500-000, Macau/RN",,paroquiansdaconceicao@hotmail.com,Matriz,
Paróquia de Nossa Senhora de Lourdes,Centro,Ipanguaçu,Vicariato Norte 1,6º Zonal,Dom: 07:00 | Dom: 18:00,,"Av. Luiz Gonzaga, 804, Centro - 59508-000, Ipanguaçu/RN",(84) 99868-8111,,Matriz,
Paróquia de Nossa Senhora do Rosário,Centro,Alto do Rodrigues,Vicariato Norte 1,6º Zonal,"Ter, Qua, Qui, Sex, Sáb: 19:00 | Dom: 10:00 | Dom: 19:30",,"Av. Álvaro Rodrigues, s/n, Centro - 59507-000, Alto do Rodrigues/RN",(84) 92001-9190,,Matriz,
Paróquia de São João Batista,Centro,Pendências,Vicariato Norte 1,6º Zonal,Dom: 19:00,,"Praça São João Batista, 203, Centro - 59504-000, Pendências/RN",(84) 99710-3405,psjb_pendencias@hotmail.com,Matriz,
São Francisco,,Pendências,Vicariato Norte 1,6º Zonal,Dom: 08:00,,,,,Pertence a matriz de Paróquia de São João Batista,
Paróquia de São José Operário,Centro,Jandaíra,Vicariato Norte 1,6º Zonal,Dom: 19:30 | Qui: 19:30,,"Praça Antônio Messias, 116, Centro - 59594-000, Jandaíra/RN",,secretariaparoquialjanda@gmail.com,Matriz,
Nossa Senhora dos Navegantes,,Jandaíra,Vicariato Norte 1,6º Zonal,Qua: 19:00 | Sáb: 19:30,,,,,Pertence a matriz de Paróquia de São José Operário,
Paróquia de Nossa Senhora Mãe dos Homens,Centro,João Câmara,Vicariato Norte 2,7º Zonal,"Ter, Qua, Qui, Sex: 17:30 | Sáb: 10:00 | Dom: 07:00 | Dom: 10:00 | Dom: 19:00","Sábado, 10h — missa dos feirantes. 1ª sexta-feira do mês, 7h. 3ª quinta-feira do mês, 19h.","Praça Mons. Freitas, 188, Centro - 59550-000, João Câmara/RN",(84) 99653-2647,pnsmhomens01@gmail.com,Matriz,
São João Batista,,João Câmara,Vicariato Norte 2,7º Zonal,Dom: 19:00,1ª Sexta-feira do mês,,,,Pertence a matriz de Paróquia de Nossa Senhora Mãe dos Homens,
Paróquia de Nossa Senhora de Nazaré,Centro,Parazinho,Vicariato Norte 2,7º Zonal,Dom: 07:00 | Dom: 19:30 | Qui: 19:30,,"Praça Senador João Câmara, 1150, Centro - 59586-000, Parazinho/RN",,,Matriz,
São Francisco - Pedra Grande,,Parazinho,Vicariato Norte 2,7º Zonal,Dom: 10:00 | Qua: 19:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora de Nazaré,
Paróquia de Santo Antão Abade,Centro,São Bento do Norte,Vicariato Norte 2,7º Zonal,Dom: 19:30 | Sex: 07:00,,"Av. Ursulino Silvestre, 92, Centro - 59590-000, São Bento do Norte/RN",,paroquiastabade@hotmail.com,Matriz,
São Pedro - Caiçara do norte,,São Bento do Norte,Vicariato Norte 2,7º Zonal,Qui: 07:30 | Sáb: 19:30,,,,,Pertence a matriz de Paróquia de Santo Antão Abade,
Paróquia de Nossa Senhora do Livramento,Centro,Taipu,Vicariato Norte 2,7º Zonal,"Qua, Qui, Sex: 19:30","Último domingo do mês, 19h — missa devocional a Nossa Senhora do Livramento.","Praça Dez de Março, 426, Centro - 59565-000, Taipu/RN",(84) 3264-2201,livramentotaipu@gmail.com,Matriz,
Paróquia do Sagrado Coração de Jesus,Centro,Poço Branco,Vicariato Norte 2,7º Zonal,"Ter, Qua, Qui: 19:00 | Dom: 08:00 | Dom: 19:00 | ","Terça com novena. Quinta com adoração. 1ª sexta-feira do mês, 19h.","Av. Poço Branco, 145, Centro - 59560-000, Poço Branco/RN",(84) 99904-7673,,Matriz,
Paróquia de Nossa Senhora das Dores,Nova Descoberta,Ceará-Mirim,Vicariato Norte 2,14º Zonal,"Dom: 06:30 | Dom: 19:00 | Qua, Qui, Sex, Sáb: 06:00","1ª sexta-feira do mês, 19h. Dia 15, 19h — missa do devoto da Virgem Dolorosa.","Rua Vital Correia, 492, Nova Descoberta - 59570-000, Ceará-Mirim/RN",,nsadasdorescm@gmail.com,Matriz,
Paróquia de Nossa Senhora do Rosário de Fátima,Centro,Ceará-Mirim,Vicariato Norte 2,14º Zonal,Dom: 19:00,"Dia 04, 19h — bênção de São Brás. Dia 13, 19h — votiva a Nossa Senhora do Rosário de Fátima. Dia 22, 19h — Coroa de Santa Rita de Cássia. 1ª quinta-feira, 19h — votiva a São Miguel Arcanjo.","Rua Santa Terezinha, 205, Conj. Luiz Lopes Varela - 59570-000, Ceará-Mirim/RN",,carlosaguiar021@gmail.com,Matriz,
Paróquia de Nossa Senhora da Conceição,Centro,Ceará-Mirim,Vicariato Norte 2,14º Zonal,"Ter, Qua, Qui, Sex, Sáb: 06:00 | Dom: 06:30 | Dom: 10:00 | Dom: 16:00 | Dom: 19:00",,"Praça Mons. Celso Cicco, 84, Centro - 59570-000, Ceará-Mirim/RN",(84) 3274-2042,paroquianscm@gmail.com,Matriz,
Paróquia de Nossa Senhora da Conceição,Centro,Maxaranguape,Vicariato Norte 2,14º Zonal,Dom: 07:00 | Dom: 19:00,,"Rua Eduardo Silvestre, 27 - 59580-000, Maxaranguape/RN",(84) 99892-0085,,Matriz,
Paróquia de Nossa Senhora da Pureza,Centro,Pureza,Vicariato Norte 2,14º Zonal,Dom: 07:00 | Dom: 18:00 | Qui: 19:00,,"Praça 5 de Abril, 95, Centro - 59582-000, Pureza/RN",(84) 99102-6974,,Matriz,
Paróquia de Nossa Senhora da Conceição,Centro,Santa Maria,Vicariato Norte 2,14º Zonal,"Qui, Sex, Sáb, Dom: 19:00 ",,"Rua da Matriz, s/n, Centro - 59464-000, Santa Maria/RN",,,Matriz,
Ielmo Marinho,,Santa Maria,Vicariato Norte 2,14º Zonal,Dom: 08:00 | Qua: 19:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora da Conceição,
Paróquia do Bom Jesus dos Navegantes,Centro,Touros,Vicariato Norte 2,17º Zonal,"Ter, Qua, Qui, Sex: 07:00 | Dom: 10:00 | Dom: 19:30",,"Av. Prefeito José Américo, 29, Centro - 59584-000, Touros/RN",(84) 99457-9430,bomjesusdosnavegantes@gmail.com,Matriz,
São Pedro,,Touros,Vicariato Norte 2,17º Zonal,Dom: 07:00,,,,,Pertence a matriz de Paróquia do Bom Jesus dos Navegantes,
Nossa Senhora de Fátima,,Touros,Vicariato Norte 2,17º Zonal,Dom: 08:00,,,,,Pertence a matriz de Paróquia do Bom Jesus dos Navegantes,
Nossa Senhora da Conceição,,Touros,Vicariato Norte 2,17º Zonal,Dom: 16:00,,,,,Pertence a matriz de Paróquia do Bom Jesus dos Navegantes,
Santa Luzia,,Touros,Vicariato Norte 2,17º Zonal,Dom: 17:30,,,,,Pertence a matriz de Paróquia do Bom Jesus dos Navegantes,
Paróquia da Virgem e Mártir Santa Luzia,Centro,Touros,Vicariato Norte 2,17º Zonal,Qui: 19:00 | Dom: 19:00,"Dias 13 e 18, 19h.","Av. Ver. João Teodoro de Souza Filho, 38, Centro, Comunidade de Santa Luzia - Touros/RN",,igrejadesantaluzia13@gmail.com,Matriz,
Paróquia de Nossa Senhora dos Navegantes,Centro,Rio do Fogo,Vicariato Norte 2,17º Zonal,Dom: 08:00 | Dom: 18:00,,"Rua Vereador José Andrade, s/n, Centro - 59780-000, Rio do Fogo/RN",(84) 99633-3035,apnsnavegantes@gmail.com,Matriz,
Paróquia de São Miguel Arcanjo,Centro,São Miguel do Gostoso,Vicariato Norte 2,17º Zonal,Dom: 08:00 | Dom: 19:00 | Qui: 19:00,"1ª sexta-feira do mês, 18h.",,,,Matriz,
